fleksem,skrót,część mowy
rzeczownik,subst,rzeczownik
rzeczownik deprecjatywny,depr,rzeczownik
przymiotnik,adj,przymiotnik
przymiotnik przyprzym.,adja,przymiotnik
przymiotnik poprzyimkowy,adjp,przymiotnik
przymiotnik predykatywny,adjc,przymiotnik
forma nieprzeszła,fin,czasownik
forma przyszła być,bedzie,czasownik
aglutynant być,aglt,czasownik
pseudoimiesłów,praet,czasownik
rozkaźnik,impt,czasownik
bezosobnik,imps,czasownik
bezokolicznik,inf,czasownik
im. przys. współczesny,pcon,czasownik
im. przys. uprzedni,pant,czasownik
odsłownik,ger,czasownik
im. przym. czynny,pact,czasownik
im. przym. bierny,ppas,czasownik